what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1349341310475
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1349341310475
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1349341310555
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1349341310555
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1349341310555
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1349341310555
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1349341310555
os,sysinfo,,,"win32",1349341310595
arch,sysinfo,,,"x86",1349341310595
ws,sysinfo,,,"win32",1349341310595
locale,sysinfo,,,"th_TH",1349341310595
processors,sysinfo,,,"1",1349341310595
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349341310595
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1349341310595
java.specification.name,sysinfo,,,"Java Platform API Specification",1349341310595
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349341310595
java.specification.version,sysinfo,,,"1.6",1349341310595
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1349341310595
java.version,sysinfo,,,"1.6.0_32",1349341310595
java.vm.info,sysinfo,,,"mixed mode, sharing",1349341310595
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349341310595
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349341310595
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349341310595
java.vm.specification.version,sysinfo,,,"1.0",1349341310595
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1349341310595
java.vm.version,sysinfo,,,"20.7-b02",1349341310595
error,log,,,"Could not instantiate provider org.eclipse.team.svn.core.svnnature for project adempiereLibero.",1349341311086
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1349341311657
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1349341311827
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1349341311907
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1349341320369
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1349341320579
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1349341320810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341321921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341334279
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1349341337924
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1349341339777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341343232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341352776
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349341352816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341354258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341470395
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349341472308
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349341554756
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349341554866
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349341634491
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349341634571
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349341644145
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349341644205
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1349341646989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341658195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341710600
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1349341712473
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1349341712743
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1349341712773
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1349341713154
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1349341713164
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1349341713174
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1349341713334
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1349341713384
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1349341713404
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1349341713404
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1349341713515
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1349341713515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341722628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341759431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341788993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341838855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341844242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341885402
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349341886904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341901074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341903167
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349341903367
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1349341904018
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1349341904399
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1349494784715
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1349494784715
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1349494784715
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1349494784725
