what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411454266907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411454267001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411454271541
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411454279341
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411454280433
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411454280464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411454297842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411454319839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411454321055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411454420724
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411454505542
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411454505558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411454525947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411454749564
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411454753759
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411454754059
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411454754102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411454766567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411454859430
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1411454865828
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1411454865882
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1411454865942
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1411454865983
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1411454866005
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1411454866055
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1411454866089
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1411454866192
