what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1363836359797
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1363836359807
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1363836359807
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1363836359807
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1363836359807
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1363836359827
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1363836359827
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1363836359867
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1363836359867
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1363836359927
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1363836359937
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1363836359937
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1363836359947
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1363836359947
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1363836359947
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1363836359957
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1363836359957
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1363836359957
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1363836359957
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1363836359957
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1363836359967
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1363836359967
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1363836359967
os,sysinfo,,,"win32",1363836359967
arch,sysinfo,,,"x86",1363836359967
ws,sysinfo,,,"win32",1363836359967
locale,sysinfo,,,"th_TH",1363836359967
processors,sysinfo,,,"1",1363836359967
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1363836359967
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1363836359967
java.specification.name,sysinfo,,,"Java Platform API Specification",1363836359967
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1363836359967
java.specification.version,sysinfo,,,"1.6",1363836359967
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1363836359967
java.version,sysinfo,,,"1.6.0_32",1363836359967
java.vm.info,sysinfo,,,"mixed mode, sharing",1363836359967
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1363836359967
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1363836359967
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1363836359967
java.vm.specification.version,sysinfo,,,"1.0",1363836359967
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1363836359967
java.vm.version,sysinfo,,,"20.7-b02",1363836359967
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1363836360128
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1363836360408
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1363836360458
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1363836360739
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1363836360739
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1363836361329
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1363836361590
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1363836361900
error,log,,,"Could not instantiate provider org.eclipse.team.svn.core.svnnature for project adempiereLibero.",1363836362391
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1363836364574
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1363836364634
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1363836371855
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1363836371885
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1363836372015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363836375079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363836863572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363836955073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363837007609
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1363837066523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363837448843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363837581163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363837583577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363837587302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363837901354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363837903287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363837913311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363838233381
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1363838235394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363838386181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363838386201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363838386291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363839995315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363840035262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363840072716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363840444961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363840533469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363840576671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363840673820
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1363840767786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363840768136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363840768256
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1363840771311
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1363840776778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363840781635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363840785090
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1363840828002
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1363840829224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363840832368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363840836424
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363840837926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363840837936
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363840837956
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363840978689
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1363840997015
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1363840998407
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1363841004556
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1363841037644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363841040898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363841041329
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1363841042120
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1363841042450
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1363841275405
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1363841275556
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1363841275606
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1363841275826
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1363841275826
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1363841275846
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1363841275976
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1363841276026
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1363841276046
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1363841276056
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1363841276137
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1363841276137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363841277899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363841282786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363841283958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363841284118
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363841284148
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363841334631
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1363841357083
